name,site,company,salary,eduBackground,techRequire
Java 后端工程师,北京·海淀区·马连洼,百度,25-40K·16薪,"3-5年
本科",Java开发经验机器学习工程经验Java架构师
Java 开发工程师,北京·海淀区·中关村,量化派,20-40K,"3-5年
本科",SpringSpringBootMySQL后端开发分布式技术
Java 软件工程师,北京·朝阳区·望京,社通网科技,10-20K,"3-5年
本科",Java后端开发
JAVA 开发工程师,北京·海淀区·航天桥,银都新天地,10-15K,"1-3年
本科",SQL分布式技术SpringSpringMVCRedisGIT
Java 开发岗（海外事业部),北京·朝阳区·三里屯,爱奇艺,20-30K·14薪,"1-3年
本科",后端工程师Java
Java 网站开发工程师 专/兼职,北京·海淀区·中关村,泽熹科技,12-20K,"1-3年
学历不限",HTMLCSS网络协议MVC开发SpringWEB开发
Java 消息中间件开发工程师,北京·朝阳区·798,360集团,25-50K·16薪,"经验不限
本科",后端工程师Java开发经验分布式系统开发经验
Java web开发实习生,北京·昌平区·回龙观,小晟科技,4-5K,"在校/应届
本科",Java
java web 开发实习生,北京·海淀区·北下关,铁科院信息所,200-250元/天,"4天/周
3个月
本科",JavaSQL数据结构SQL Server信息化JavaScript
java 架构师（专家岗）,北京,百亚股份,30-60K·16薪,"5-10年
本科",架构师广告业务
资深 Java 游戏服务器开发,北京·朝阳区·安贞,王牌游戏,40-60K·13薪,"经验不限
学历不限",网络协议数据结构网络编程RedisNoSQLMongoDB
java web开发工程师,北京·丰台区·大红门,安邦模拟科技,6-8K,"经验不限
本科",HTMLSpringMaven计算机软件JavaScriptJava
JAVA WEB开发工程师,北京·海淀区·五道口,网矿,8-13K·13薪,"3-5年
本科",HTML/CSSJavaJavascript
Java 研发工程师（Agent方向),北京·朝阳区·大山子,边界无限,20-40K·14薪,"3-5年
本科",java agentJVMAPMjava调试技术java字节码
高级 Java web 后端开发工程师,北京·海淀区·上地,悬镜,20-35K,"3-5年
本科",SQL搜索引擎技术MVC开发负载均衡技术容器技术
Java 高级软件开发工程师,北京·海淀区·上地,北大方正电子,13-26K,"1-3年
本科",后端开发Java系统架构
大数据 数据资产模块 JAVA 资深工程师 北京,北京·海淀区·中关村,云之重器科技有限公司,30-50K·13薪,"3-5年
本科",JavaSpringJava开发经验大数据处理经验
资深 Java 开发 工程师,北京·丰台区·菜户营,中国电信全渠中心,30-45K·14薪,"3-5年
硕士",架构师Java推荐系统
Senior JAVA 高级软件开发工程师,北京,毕罗国际,35-45K·15薪,"3-5年
本科",微服务架构Spring后端开发高级软件工程师
Java 高级开发工程师 国际化部,北京·朝阳区·十里堡,VIPKID,20-40K,"3-5年
本科",后端开发Java系统架构
Java,北京·西城区·西直门,知圆科技,8-13K,"1-3年
本科",JavaHTMLCSS分布式技术服务器配置Spring
Java,北京·朝阳区·望京,明略科技,40-70K·15薪,"5-10年
本科",后端开发SpringSpringMVC架构师
Java,北京,北京华宇思创,11-18K,"3-5年
本科",Java分布式技术微服务架构Spring后端开发
Java,北京·朝阳区·高碑店,北京创意坊科技,10-12K,"1-3年
本科",Java后端开发
java,北京·东城区·安定门,北京南天,16-18K,"3-5年
本科",Springspringcloud开发经验
Java,北京,创朝科技,25-30K,"5-10年
本科",Java分布式技术微服务架构SpringSpringMVC
Java,北京·大兴区·西红门,山西图灵科技中心...,8-12K·13薪,"1-3年
大专",JavaSpringMyBatis
Java,北京,浙江银泰百货有限...,16-32K,"3-5年
本科",Java后端开发Linux
Java,北京·朝阳区·左家庄,天下秀,15-30K,"5-10年
本科",多线程微服务架构流媒体技术NoSQL后端开发
Java,北京·朝阳区·三元桥,欢喜首映,15-25K·13薪,"3-5年
本科",SpringDubboSpringBootRedisMySQLSpringMVC
Java,北京·西城区·动物园,奇安信集团,15-30K·14薪,"5-10年
本科",SQLMVC开发SpringRedisSpringMVCSpringBoot
Java,北京·朝阳区·四惠,联科星合,6-9K,"1-3年
本科",分布式技术SSHOracleMySQLWEB开发Windows
Java,北京·海淀区·学院路,泰盛天恒,12-17K,"3-5年
本科",SpringBootSpringCloud
Java,北京·大兴区·亦庄,致鑫科技,16-30K,"5-10年
本科",Java
Java,北京·朝阳区·姚家园,万物云,12-24K,"5-10年
本科",JavaSpringMySQLNettyRedisMongoDB
Java,北京·海淀区·中关村,春夏秋冬,10-15K,"3-5年
大专",AndroidJavascriptHTML/CSS
Java,北京·朝阳区·国贸,亿目,18-35K,"经验不限
学历不限",Java
Java,北京·海淀区·公主坟,中招联合,15-20K,"3-5年
本科",JavaHTML/CSS系统架构
Java,北京·海淀区·清河,中商汇企,30-45K·13薪,"5-10年
本科",架构师分布式技术多进程SpringSpringMVCRedis
java,北京·朝阳区·酒仙桥,九安芯创,11-19K,"1-3年
本科",Python分布式技术网络协议后端开发Linux
Java,北京·房山区·阎村,赛耳医疗,5-6K,"1-3年
本科",Java后端开发项目实施
Java,北京·海淀区·西北旺,华为技术有限公司,13-26K·14薪,"1-3年
本科",JavaSQL容器技术负载均衡技术Spring后端开发
Java,北京·朝阳区·高碑店,随身助,8-15K,"1-3年
本科",Java后端开发Hadoop
Java,北京·朝阳区·双井,今朝在线,11-15K,"经验不限
学历不限",Java
Java,北京·海淀区·上地,酷趣互动,15-20K,"1-3年
本科",Java分布式技术多线程SpringMySQLRedis
Java,北京·海淀区·学院路,获得场景视频,15-18K,"1-3年
本科",数据库后端开发Java
Java,北京·海淀区·清河,众信链,15-25K,"3-5年
本科",JavaSQL后端开发财务进销存微服务架构
Java,北京·海淀区·上地,安硕信息技术,8-13K,"1-3年
本科",JavaSQLShellSpringOracleLinuxMVC开发
Java,北京·朝阳区·安贞,上海贺讯,22-25K,"3-5年
本科",JavaMySQLRedis计算机/软件工程相关经验
Java,北京·朝阳区·望京,领创集团,17-30K·14薪,"3-5年
本科",Java
Java,北京·朝阳区·国贸,流深,16-20K,"5-10年
本科",分布式技术SpringCloudPostgreSQL高级软件工程师
Java,北京·朝阳区·北沙滩,农业机械化科学研究院,10-20K,"3-5年
本科",Java后端开发系统架构
Java,北京·朝阳区·望京,松果出行,25-50K·15薪,"5-10年
本科",分布式技术微服务架构数据结构消息队列容器技术
Java,北京·朝阳区·望京,意慕人工智能,20-35K,"3-5年
本科",SpringMVCSpringBoot
Java,北京·朝阳区·太阳宫,珊瑚科技,20-40K·14薪,"3-5年
本科",服务器端开发MySQL架构师消息队列SpringMVC
Java,北京·东城区·和平里,北银金科,20-40K·13薪,"3-5年
本科",JavaSpringDubbo分布式技术多线程微服务架构
Java,北京·海淀区·知春路,好未来,15-30K,"3-5年
本科",Java负载均衡技术Socket技术流媒体技术Linux
Java,北京,西安乐摇摇网络,20-25K,"3-5年
本科",后端开发数据库
Java,北京·海淀区·西北旺,新华三技术有限公司,15-16K,"5-10年
硕士",Java
Java,北京·朝阳区·酒仙桥,创软科技,14-19K,"3-5年
本科",SpringBootSpringMVC
Java,北京·顺义区·仁和,小象牧谣,15-16K,"5-10年
本科",JavaSpringMyBatis
Java,北京·朝阳区·鸟巢,汇钧科技,30-60K·14薪,"3-5年
本科",分布式技术消息队列企业级应用开发后端开发Linux
Java,北京·西城区·金融街,济安金信,8-10K,"1-3年
本科",JavaSQL
Java,北京·西城区·什刹海,阿尔法,15-16K,"1-3年
本科",SQL
Java,北京·西城区·宣武门,圣立信,25-30K·16薪,"3-5年
本科",JavaMyBatisJavaScript
Java,北京·朝阳区·将台路,玲珑塔,15-30K,"3-5年
本科",微服务架构Oracle
