,name,site,company,salary,eduBackground,experience,techRequire
1319,java,成都·武侯区·跳伞塔,中电文思海辉,12500.0,本科,3-5年,Java
1320,Java,成都·武侯区·神仙树,中国网安,12000.0,本科,3-5年,JavaSQL多线程全栈开发Linux消息队列ETL
1321,Java,成都·青羊区·府南,成都旗云科技,17500.0,本科,5-10年,Java
1322,Java,成都·双流区·蛟龙港,倍特尔信息,10000.0,大专,3-5年,后端开发JavaWeb前端
1323,Java,成都·武侯区,京东集团,42857.0,本科,3-5年,Java后端开发数据库
1324,Java,成都·锦江区·红星路,每日经济新闻,12500.0,本科,3-5年,分布式技术Linux高级软件工程师容器技术消息队列
1325,Java,成都·青羊区·天府广场,四川振磐知识产权代理,15500.0,本科,1-3年,服务器端开发HTML
1326,Java,成都·锦江区·九眼桥,星江智能科技,18428.0,本科,5-10年,分布式技术消息队列MySQL后端开发Redis
1327,Java,成都·武侯区·新会展中心,天予恒成,12000.0,本科,3-5年,MongoDBSpringBootLinux
1328,Java,成都·武侯区·玉林,华泰智胜,10500.0,本科,3-5年,后端开发系统架构
1329,Java,成都·成华区·万年场,诚骏,6500.0,本科,1-3年,Java开发经验C/C++JavaScriptMySQL后端工程师
1330,Java,成都·武侯区·铁像寺,法本,14500.0,本科,3-5年,SpringRedisJavaJava开发经验
1331,Java,成都·双流区·华阳,Moka,19285.0,本科,3-5年,多线程MySQLRedisSpringCloudLinux
1332,Java,成都·双流区·白家,泰丰元,4500.0,学历不限,1年以内,微信小程序Java
1333,Java,成都·双流区·华阳,四川杰睿德,5500.0,本科,1-3年,后端工程师JavaC/C++MySQLJava开发经验
1334,Java,成都,成都博思墨锋教育咨询,5000.0,硕士,经验不限,后端工程师全栈工程师架构师JavaMyBatisPython
1335,Java,成都·武侯区·新会展中心,文玩说,9000.0,大专,3-5年,SpringRedisSpringBoot
1336,Java,成都·武侯区·铁像寺,力盛科技,8500.0,本科,1-3年,后端开发
1337,Java,成都·武侯区·新会展中心,OPPO,26571.0,本科,3-5年,Java开发经验Java分布式技术后端工程师容器技术
1338,Java,成都·武侯区·新会展中心,多点,17142.0,大专,3-5年,多线程消息队列SpringMVCDubboMySQL
1339,Java,成都·武侯区·红牌楼,三懂科技,12500.0,大专,3-5年,MySQLMavenSpringCloudSpringBootRedis
1340,Java,成都·郫都区·高新西,华为,24000.0,本科,经验不限,高级软件工程师后端开发Java
1341,Java,成都·武侯区·机投,京东集团,23571.0,本科,3-5年,高级软件工程师
1342,Java,成都·武侯区·新会展中心,拱卒科技,13714.0,本科,3-5年,后端工程师SpringPythonMySQL
1343,Java,成都·武侯区·银泰城,蚂蚁金服,21500.0,本科,1年以内,Java后端开发全栈开发Node.js搜索算法推荐算法
1344,Java,成都·青羊区·蜀汉路,西创科技,10500.0,本科,1-3年,MVC开发服务器配置容器技术JQuerySpring
1345,Java,成都·双流区·东升,蚂蚁智行,10000.0,大专,1-3年,Java分布式技术数据结构SpringDubboRedis
1346,Java,成都,商装宝,8500.0,本科,3-5年,Java计算机软件
1347,Java,成都·双流区·华阳,蓝点时代,9000.0,本科,1-3年,JavaSpringSSM服务器配置Android
1348,Java,成都·武侯区·簇桥,文渊阁科技,20000.0,本科,3-5年,后端工程师JavaMySQLRedis
1349,Java,成都·青羊区·太升路,军昊科技,8500.0,本科,1-3年,文件管理系统负载均衡技术MySQLWEB开发Linux
1350,Java,成都·武侯区·新会展中心,海跃智讯,10500.0,本科,3-5年,JavaSpringJavaScript计算机/软件工程相关经验
1351,Java,成都·郫都区·中海国际,因子数,7714.0,本科,经验不限,SpringMySQL微服务架构RedisSpringMVC
1352,Java,成都·武侯区·新会展中心,四川智晶远博网络科技,15500.0,本科,5-10年,Java
1353,Java,成都·郫都区·高新西,华为成研所,38571.0,本科,经验不限,Java
1354,Java,成都·双流区·城南优品道广场,嘉航世拓,9500.0,本科,1-3年,服务器端开发微服务架构多线程容器技术
1355,Java,成都·武侯区·孵化园,牙e在线,9000.0,本科,1-3年,分布式技术微服务架构
1356,Java,成都·锦江区·柳江,中路智链成都,17500.0,本科,3-5年,分布式技术多线程服务器配置微服务架构容器技术
1357,Java,成都·武侯区·新会展中心,晟世天成,15000.0,学历不限,3-5年,Java
1358,Java,成都·郫都区·高新西,华为云,19285.0,本科,1年以内,JavaSpringJava开发经验
1359,Java,成都·武侯区·孵化园,爱众云算,8500.0,大专,1-3年,多线程后端开发SpringSpringMVCHibernate
1360,java,成都·武侯区·保利花园,七牛智能,9000.0,大专,1-3年,Java开发经验JavaSpring后端工程师
1361,Java,成都·武侯区,成都七色环,12500.0,本科,3-5年,Java
1362,Java,成都·武侯区·新会展中心,领雁科技,9500.0,本科,3-5年,java
1363,Java,成都·锦江区·柳江,紫川软件,14500.0,本科,3-5年,Python分布式技术SpringRedisMySQL后端开发
1364,Java,成都·武侯区·跳伞塔,影响科技,19285.0,本科,1-3年,网络协议架构师后端开发服务器端开发SpringNetty
1365,Java,成都·成华区·保和,五申,15500.0,本科,1-3年,SQLHTMLPHPCSSPythonShell
1366,Java,成都,滴滴出行,25714.0,本科,3-5年,JavaSQL分布式技术MVC开发多线程微服务架构
1367,JAVA,成都·武侯区·东苑,星晟益,10000.0,大专,3-5年,多线程数据结构SpringHibernateSpringCloud
1368,Java,成都·武侯区·桂溪,西南凯亚,7500.0,本科,5-10年,服务器端开发
1369,Java,成都·武侯区·铁像寺,光雄科技,17500.0,本科,3-5年,SpringMySQL分布式技术微服务架构消息队列
1370,Java,成都·成华区·建设路,众联汇科技,11500.0,本科,3-5年,后端工程师JavaPythonMySQL
1371,Java,成都·武侯区·新会展中心,喆塔科技,17571.0,本科,经验不限,SpringRedisOracleLinuxMaven计算机软件SQL
1372,Java,成都,成都驰达,14500.0,本科,5-10年,JavaJavaScriptSQL软件工程师数据库开发
1373,Java,成都·青羊区·天府广场,中科星图,12000.0,本科,3-5年,Java开发经验Java全栈工程师大数据处理经验
1374,Java,成都·武侯区·新会展中心,北科维拓,15500.0,本科,1-3年,微服务架构
1375,Java,成都·郫都区·中海国际,和为科技,9000.0,本科,1-3年,后端开发Java
1376,Java,成都·新都区·新都城区,深地领航,12500.0,本科,5-10年,多线程消息队列Socket技术RedisSpringBoot
1377,Java,成都·郫都区·郫县城区,华迪信息,15000.0,本科,经验不限,全栈开发
1378,Java,成都·武侯区·机投,小仙信息,14571.0,本科,3-5年,后端工程师Java计算机/软件工程相关经验Java开发经验
1379,Java,成都·武侯区·武侯立交,京东科技集团,34285.0,本科,5-10年,后端工程师架构师JavaSpringMyBatis
1380,Java,成都·锦江区·合江亭,捷远互联,14000.0,学历不限,经验不限,Java
1381,Java,成都·武侯区·火车南站,恒创励程,8500.0,大专,3-5年,搜索引擎技术后端开发SpringBootSpringJenkins
1382,Java,成都·武侯区·伊藤,森淼融联,14000.0,大专,3-5年,后端开发Java系统架构
1383,Java,成都·武侯区·石羊场,宝能,15000.0,本科,3-5年,Java多线程SpringLinuxSQLMVC开发
1384,Java,成都·锦江区·琉璃场,西谷物联,9000.0,本科,1年以内,LinuxHTML5Java
1385,Java,成都·双流区·华阳,量之星,8000.0,大专,1-3年,后端开发SpringMVCLinuxAndroidWindowsRedis
1386,Java,成都·双流区·中和,君瑞,15500.0,本科,5-10年,游戏开发SQLHTMLPythonShellPHPCSS
1387,Java,成都·武侯区·复城国际广场,焕鸿信息,8000.0,本科,1-3年,Java后端开发数据库
1388,Java,成都·郫都区·犀浦,耘一科技,13285.0,本科,3-5年,SQL微服务架构数据结构SpringPostgreSQL
1389,Java,成都·武侯区·世豪广场,岳钧智能,10500.0,大专,1-3年,后端开发全栈开发SpringBootSpringMVCSpringCloud
1390,Java,成都·武侯区·新会展中心,欧珀,32500.0,本科,5-10年,Java网络协议SpringDubboNettyLinuxWeb端
1391,Java,成都·武侯区·孵化园,上海玮鹤国际贸易,15500.0,本科,5-10年,全栈工程师架构师JavaC/C++Python
1392,Java,成都·武侯区·新会展中心,阿里巴巴集团,25714.0,本科,经验不限,分布式技术SpringSpringBootSpringMVCMySQL
1393,Java,成都·双流区·华阳,海康威视,21000.0,本科,3-5年,MVC开发后端开发LinuxSpringBootSpringCloud
1394,java,成都·武侯区·新会展中心,润和软件,12500.0,本科,1-3年,JavaSpringspring cloudkafka
1395,Java,成都·武侯区·金花,佳发教育,17142.0,本科,5-10年,后端工程师JavaSpringMyBatis
1396,Java,成都·双流区·华阳,黑色夏娃兰卓科技,11500.0,本科,1-3年,ShellPHPSQLPythonHTMLCSS音视频编解码
1397,Java,成都·武侯区·新会展中心,餐道,11571.0,本科,3-5年,微服务架构MySQLLinux中级软件工程师SpringBoot
1398,Java,成都·成华区·SM广场,诺沃科技,15000.0,本科,3-5年,Web端JavaMVC开发服务器配置负载均衡技术
1399,Java,成都·武侯区·新会展中心,成都游鱼科技有限公司,10714.0,本科,5-10年,后端工程师架构师Java
1400,Java,成都·双流区·华阳,万达信息,9857.0,本科,3-5年,JavaJS微服务架构全栈开发
1401,Java,成都·新都区·新都物流基地,星恒园林,14500.0,大专,3-5年,JavaSpring
1402,Java,成都·武侯区·火车南站,冰清科技,9000.0,本科,1-3年,JavaSQLHTMLCSSSpringHibernateJQuery
1403,JAVA,成都·武侯区·孵化园,兴玖盛,10500.0,大专,3-5年,SQL分布式技术网络协议数据结构网络编程Redis
1404,Java,成都·武侯区·九眼桥,四川北斗智慧物联,7714.0,大专,3-5年,SQLSocket技术多线程RedisMySQL后端开发
1405,Java,成都·郫都区·郫县城区,微服云,15000.0,本科,3-5年,微服务架构分布式技术消息队列后端开发MySQL
1406,Java,成都·武侯区·桐梓林,鸿兴运达科技,8000.0,本科,3-5年,Java后端开发数据库
1407,JAVA,成都·武侯区·新会展中心,成都龙小云,20000.0,大专,3-5年,分布式技术多线程MVC开发SpringDubbo
1408,Java,成都·武侯区·桂溪,共达旭晟,10714.0,本科,5-10年,后端工程师JavaJava开发经验大数据处理经验
1409,Java,成都·双流区·麓山,深圳市锐明技术,20000.0,本科,5-10年,Java架构师SpringMybatis分布式技术MySQL
1410,Java,成都·武侯区·新会展中心,成都京抖云科技有...,12500.0,本科,3-5年,软件工程师架构师高级软件工程师后端开发全栈开发
1411,Java,成都·武侯区·中和,文新视界,15500.0,大专,5-10年,Java数据库系统架构
1412,Java,成都·武侯区·银泰城,成都和时与,7500.0,大专,1-3年,JavascriptJava系统架构
1413,Java,成都·武侯区·孵化园,四川华斐科技有限...,10714.0,本科,3-5年,后端开发SpringCloudMySQLSQL ServerMongoDB
1414,Java,成都·武侯区·环球中心,辉码科技,10500.0,本科,3-5年,Android后端开发Java
1415,Java,成都·双流区·华阳,晓天暮云,15000.0,大专,1-3年,服务器端开发PythonPHPShell
1416,Java,成都·青羊区·万家湾,申达森,10000.0,大专,3-5年,JavaSpringSQLMybatisMySQLRedisJavaScript
1417,Java,成都·武侯区·浆洗街,胜禾,11500.0,大专,5-10年,微服务架构分布式技术网络编程多线程PostgreSQL
1418,Java,成都·温江区·天府,启醒,15000.0,大专,3-5年,ShellMVC开发分布式技术Redis后端开发全栈开发
1419,Java,成都·武侯区·紫荆,格尔软件,17500.0,大专,5-10年,后端开发Java
1420,Java,成都·武侯区·跳伞塔,三业嘉豪,6500.0,本科,1-3年,Web前端Javascript流媒体转封装
1421,Java,成都·锦江区·春熙路,成都安世亚太,14000.0,本科,3-5年,后端工程师全栈工程师JavaSpringMyBatis
1422,Java,成都·武侯区·银泰城,口碑,22500.0,本科,3-5年,多线程LinuxSaaSSocket技术分布式技术
1423,java,成都·温江区·涌泉,中软国际,10000.0,本科,3-5年,springboot
1424,Java,成都·武侯区·孵化园,烽顺科技,15000.0,本科,3-5年,中级软件工程师微服务架构后端开发SpringBoot
1425,Java,成都·成华区·东郊记忆,中电锦江,13285.0,本科,1-3年,消息队列微服务架构软件工程师全栈开发Linux
1426,Java,成都·武侯区·孵化园,安胜,11500.0,大专,3-5年,后端开发
1427,Java,成都·双流区·双流机场,成华区万银惠商贸部,15500.0,本科,1年以内,Java
1428,Java,成都·武侯区·新会展中心,21cn,13714.0,本科,3-5年,分布式技术微服务架构
1429,Java,成都·武侯区·孵化园,泛美云教育,9000.0,本科,3-5年,GIT全栈开发后端开发服务器端开发WEB开发
1430,Java,成都·郫都区·德源镇,云视游,10000.0,本科,3-5年,Java后端开发数据库
1431,Java,成都·武侯区·大源,美团服务体验中心,25714.0,本科,5-10年,分布式技术多线程消息队列多进程
1432,Java,成都·郫都区·德源镇,韩学仕教育,15500.0,本科,1-3年,音视频编解码
1433,Java,成都·锦江区·红星路,比罗瓦,22500.0,本科,1-3年,后端工程师全栈工程师JavaJava开发经验
1434,Java,成都·武侯区·保利花园,首辅设计,12500.0,本科,1-3年,后端开发微服务架构服务器配置
1435,Java,成都·武侯区·孵化园,同步新科,8142.0,本科,1-3年,JavaSpring安防dockerSaaS
1436,Java,成都·武侯区·新会展中心,政采咨询,12500.0,本科,3-5年,MVC开发消息队列SpringRedis后端开发架构师
1437,Java,成都·武侯区·新会展中心,茵仕联昆,14142.0,本科,5-10年,Java开发经验Java分布式系统开发经验支付MySQL
1438,Java,成都·郫都区·高新西,四川亿达未来科技,12500.0,大专,3-5年,后端工程师全栈工程师JavaSpring
1439,Java,成都·双流区·华阳,兴川数科,12857.0,本科,3-5年,Java多线程PythonJavaScriptHTMLSQL
1440,java,成都·武侯区·铁像寺,华为,19285.0,本科,1-3年,后端工程师Java大厂华为
1441,Java,成都·锦江区·三圣乡,八九数码,8500.0,本科,3-5年,Java开发经验Java分布式系统开发经验后端工程师
1442,Java,成都·郫都区·犀浦,直真科技,10714.0,本科,经验不限,Java分布式技术网络爬虫技术MySQLRedisOracle
1443,Java,成都·武侯区·铁像寺,美团服务体验中心,47142.0,本科,5-10年,微服务架构MVC开发Spring
1444,Java,成都·武侯区·新会展中心,蚂蚁金服,30000.0,本科,经验不限,JavaSpring分布式技术MySQL架构师消费金融
1445,java,成都·武侯区·铁像寺,启航科技,12500.0,本科,3-5年,SpringHibernateJQueryMVC开发服务器配置
1446,Java,成都·武侯区·孵化园,骧豆,12500.0,本科,3-5年,微服务架构中级软件工程师多进程后端开发
1447,Java,成都·崇州市·羊马,金牛区利信厚劳务...,15500.0,本科,1-3年,Java
1448,Java,成都·双流区·华阳,众鹤科技,16000.0,本科,3-5年,MVC开发高级软件工程师后端开发企业级应用开发
1449,Java,成都·郫都区·高新西,直真科技,22500.0,本科,5-10年,LinuxJavaShell
1450,Java,成都·武侯区·新会展中心,酷家乐,19285.0,本科,5-10年,JavaJavaScript
1451,Java,成都·武侯区·新会展中心,多点DMALL,17142.0,本科,5-10年,SQL分布式技术SpringBoot高级软件工程师后端开发
1452,Java,成都·武侯区·新会展中心,聆犀文化科技有限公司,12500.0,硕士,5-10年,PythonHTMLCSS微服务架构后端开发小程序
1453,Java,成都·武侯区·红牌楼,成都顶智时代信息技术,10500.0,本科,1-3年,后端工程师JavaSpringMyBatis
1454,Java,成都·武侯区·新会展中心,兴业,17142.0,本科,经验不限,分布式技术微服务架构SpringBootSpringCloudMySQL
1455,Java,成都·成华区·万象城,亿阳信通,7500.0,本科,1-3年,Java后端开发数据库
1456,Java,成都·锦江区·春熙路,北京百度网讯有限公司,30000.0,本科,1-3年,高级软件工程师后端开发LinuxSpringIDEAGIT
1457,Java,成都·武侯区·新会展中心,中移系统集成有限公司,15428.0,本科,1-3年,负载均衡技术分布式技术多线程
1458,Java,成都·武侯区·新会展中心,元马科技,11500.0,学历不限,经验不限,netty游戏开发
1459,Java,成都·武侯区·高升桥,明腾网络,12500.0,大专,3-5年,SQLJeesite4.x
1460,Java,成都·武侯区·孵化园,沸石教育,4950.0,大专,0-1年,分布式技术MVC开发后端开发全栈开发java
1461,Java,成都·武侯区·银泰城,宜辰网络,10500.0,大专,3-5年,StrutsSpringBootMySQL微服务架构
1462,Java,成都·郫都区·高新西,华为技术有限公司,18000.0,本科,经验不限,分布式技术MySQL后端开发
1463,Java,成都·武侯区·桂溪,梦想加,17500.0,大专,3-5年,Java开发经验JavaMySQLRedis后端工程师
1464,java,成都·武侯区·银泰城,蜀银信息,15500.0,大专,3-5年,SQLHTMLMVC开发数据结构SpringOracle
1465,Java,成都·武侯区·环球中心,锦腾达,19500.0,本科,经验不限,后端开发Java分布式技术多线程Redis游戏开发
1466,JAVA,成都,铭润同康,11571.0,本科,1-3年,微服务架构搜索引擎技术分布式技术后端开发
1467,Java,成都·武侯区·紫荆,中国电子科技集团,12500.0,本科,3-5年,Java后端开发数据库
1468,Java,成都·锦江区·柳江,兴政电子,10000.0,本科,1-3年,Java
1469,Java,成都·成华区·圣灯,曦清科技,5000.0,大专,1-3年,SQL服务器配置Oracle
1470,Java,成都·青羊区·骡马市,助万联,15000.0,本科,3-5年,架构师高级软件工程师后端开发SpringBoot
1471,Java,成都·武侯区·玉林,数影互联,8571.0,大专,1-3年,后端开发LinuxSpringBootSpringMVCHibernate
1472,Java,成都·金牛区·李家沱,爱知之星,7714.0,本科,1-3年,JavaJavascript数据采集
1473,Java,成都·锦江区·柳江,高瞰一点,13500.0,大专,3-5年,Java开发经验全栈工程师Java大数据处理经验Spring
1474,Java,成都·青羊区·青羊大道,卓领通讯,12000.0,本科,3-5年,JavaPython数据抓取
1475,Java,成都·双流区·华阳,联创基业科技,10500.0,本科,3-5年,JavaJavaScriptSQL
1476,Java,成都·锦江区·沙河,爱蜀美科技,8500.0,大专,1-3年,JavaSpringMySQLJava开发经验
1477,Java,成都·武侯区·银泰城,易达飞牛,10000.0,本科,经验不限,Java
1478,Java,成都,四川胆小鬼科技有...,15500.0,本科,1-3年,SQL分布式技术数据结构架构师
1479,Java,成都·武侯区·复城国际广场,中电进出口,18000.0,本科,5-10年,Java系统架构后端开发
1480,Java,成都·武侯区·新会展中心,猫喜源,15500.0,本科,1-3年,多线程音视频编解码
1481,Java,成都·武侯区·银泰城,乐享智家,16285.0,大专,5-10年,SQLMongoDBMySQL高级软件工程师SpringCloud
1482,Java,成都·武侯区·铁像寺,成都元辰文化传媒,10500.0,本科,1-3年,JavaJavaScriptPython
1483,Java,成都·武侯区·孵化园,世纪星成网络科技,20500.0,本科,5-10年,Java系统架构师测试工程师
1484,Java,成都·武侯区·芳草街,武侯区一亦一软件...,10500.0,本科,1-3年,JavaSpringMyBatis
1485,Java,成都·武侯区·新会展中心,擎云航空,10000.0,本科,经验不限,JavaC/C++计算机/软件工程相关经验Java开发经验
1486,Java,成都·武侯区·新会展中心,成都鼎桥,17142.0,本科,经验不限,MVC开发SpringBootSpringCloudMySQL
1487,Java,成都,满帮集团,24000.0,本科,5-10年,消费金融SpringMySQL后端开发Linux
1488,Java,成都·武侯区·新会展中心,多诺加,30000.0,硕士,5-10年,微服务架构高级软件工程师架构师全栈开发Linux
1489,Java,成都·武侯区·新会展中心,信普飞科,10000.0,大专,1-3年,后端开发WEB开发AndroidLinux
1490,Java,成都·武侯区·新会展中心,思安博,10500.0,本科,3-5年,SpringSpringBoot后端开发初级软件工程师
1491,Java,成都·郫都区·高新西,上海华为技术有限公司,17500.0,本科,3-5年,Java开发经验Java团队管理经验MyBatis后端工程师
1492,java,成都·双流区·华阳,智菲,9000.0,大专,1年以内,后端工程师
1493,Java,成都·武侯区·孵化园,智迅车联,10500.0,大专,3-5年,HTMLSpringSpringBootMaven
1494,Java,成都·武侯区·机投,壹碳环投科技,22500.0,大专,3-5年,多线程OracleMySQLSQL Server
1495,Java,成都·武侯区·大源,树邦科技,12500.0,学历不限,经验不限,MVC开发EclipseSpringBootWEB开发MySQLVUE
1496,Java,成都,云端互联,12500.0,大专,5-10年,Java
1497,Java,成都·武侯区·新会展中心,中建电商,19285.0,本科,3-5年,分布式技术DubboRedisMongoDBSpringBoot
1498,Java,成都·武侯区·银泰城,灰虫子,12500.0,大专,1-3年,后端工程师Java
1499,Java,成都·武侯区·武侯立交,教育家,12500.0,本科,3-5年,Java分布式技术MVC开发消息队列SpringMySQL
1500,Java,成都·金牛区·沙湾,北京钱龙,9000.0,本科,1-3年,后端开发SpringBootSpringMVCSpringCloudSSM
1501,工作名,地址,公司,7500.0,学历不限,学历要求,技术要求
1502,Java,天津,华俊科技,9500.0,本科,1-3年,SQLCSSSpringSpringMVC
1503,Java,天津,联合智选,4500.0,本科,1年以内,Java
1504,Java,天津·南开区·兴南街,天津市辰思科技有...,7500.0,本科,1-3年,后端开发SpringMVCMySQL
1505,Java,天津·和平区·小白楼,云拓,7000.0,大专,1-3年,Java
1506,Java,天津·北辰区·双口,领跃智能,3450.0,本科,0-1年,SQLSpringSpringMVCMySQL后端开发
1507,Java,天津,清小华教育科技(...,4500.0,本科,1-3年,服务器端开发WEB开发客户端开发
1508,Java,天津,谷德科技,5500.0,大专,1-3年,PythonSQLSpringBootSpringCloudSpring
1509,Java,天津·东丽区·空港,天杰智能科技,10714.0,本科,3-5年,JavaWeb端SpringSpringCloud全栈开发
1510,Java,天津·河西区·陈塘庄,天津五方信技,12000.0,本科,3-5年,服务器配置SpringDubboOracleMySQLDB2
1511,Java,天津·南开区·华苑,果实科技,9500.0,本科,1-3年,Java数据库系统架构
1512,Java,天津·西青区·侯台,中子星,3000.0,大专,经验不限,SQL软件工程师MySQL后端开发Linux
1513,Java,天津·西青区·中北,天地伟业,14142.0,本科,3-5年,JavaJavaScriptSQLHTMLCSSSpringMySQL
1514,java,天津·宝坻区·高家庄,安民网络,11500.0,学历不限,经验不限,后端工程师JavaJava开发经验
1515,Java,天津·西青区·会展中心,政林,6500.0,大专,1-3年,微服务架构MVC开发消息队列分布式技术
1516,Java,天津·北辰区·双口,湛泸科技,12500.0,学历不限,经验不限,架构师高级软件工程师中级软件工程师初级软件工程师
1517,Java,天津·河东区·二号桥,中成思创,12500.0,大专,3-5年,Java开发经验JavaHibernate分布式系统开发经验
1518,Java,天津·西青区·中北,天津爱世家科技有...,17500.0,本科,3-5年,PHPPythonSQL服务器配置HTML软件工程师
1519,Java,天津·红桥区·丁字沽,鸿睿佳科技,6500.0,大专,1-3年,JavaSpringMySQLJava开发经验分布式系统开发经验
1520,Java,天津·南开区·鼓楼,智慧云,20000.0,本科,5-10年,SSHSSMSpringSpringMVCHibernateStruts
1521,Java,天津·西青区·大学城,天津海数科技有限公司,8500.0,大专,3-5年,Spring
1522,Java,天津·西青区·会展中心,恒石,10500.0,本科,3-5年,程序员/软件工程师
1523,java,天津·南开区·时代奥城,天津行至简科技,13000.0,大专,3-5年,SpringOracleMySQL后端开发SpringBoot
1524,Java,天津·南开区·西南角,天津百望金赋,7285.0,本科,1-3年,后端工程师JavaSpringMyBatisJava开发经验
1525,Java,天津·西青区·中北,易云图,8500.0,本科,1-3年,SQL微服务架构MVC开发容器技术SpringOracle
1526,Java,天津·武清区·北郑,字码行间,12500.0,大专,5-10年,全栈工程师负载均衡技术微服务架构分布式技术SSH
1527,Java,天津·北辰区·北仓,车云保,7500.0,本科,1-3年,HTML5JavaJavascript
1528,Java,天津·武清区·下朱庄,偶思科技,8000.0,大专,1-3年,Java
1529,Java,天津·东丽区·华明,浩瀚明远,8000.0,大专,1-3年,微服务架构软件工程师后端开发SpringBoot
1530,java,天津·西青区·大学城,紫光智远,7000.0,本科,在校/应届,后端工程师JavaJava开发经验
1531,Java,天津·南开区·华苑,伊特曼思,6428.0,大专,1-3年,JavaWeb前端数据库
1532,Java,天津·南开区·西南角,诺合美科技,8500.0,大专,3-5年,Java全栈工程师团队管理经验Hibernate
1533,Java,天津·河东区·二号桥,盛世佳程科技,9500.0,本科,3-5年,JavaHTML5Linux
1534,Java,天津·河东区·天津站,中电金信软件有限公司,19000.0,大专,3-5年,JavaSpringMyBatisJava开发经验
1535,Java,天津·河西区·梅江,先行公司,9000.0,本科,1-3年,Java.NETAndroid
1536,Java,天津·滨海新区·大港,圣泰亚网络科技,10500.0,大专,经验不限,网络协议
1537,Java,天津·滨海新区·泰达MSD,天津东软金算盘软件,12500.0,本科,3-5年,JavaSpringMySQL计算机/软件工程相关经验
1538,Java,天津·西青区·中北,圣威科技,9500.0,本科,经验不限,容器技术Socket技术消息队列多线程SpringSVN
1539,Java,天津·东丽区·万新街,中科奇创,6857.0,本科,1-3年,SQLPythonMVC开发软件工程师后端开发
1540,Java,天津·东丽区·空港,汉光电子,5500.0,大专,1-3年,SQL分布式技术MySQLOracle.NETJava
1541,Java,天津·西青区·大寺,创华科技,8500.0,大专,3-5年,JavaJavascriptWeb前端
1542,java,天津,图灵信息技术,10500.0,学历不限,1-3年,MVC开发网络协议WEB开发SpringBootSpring
1543,JAVA,天津·西青区·大寺,天融环境,9500.0,本科,1-3年,HTMLCSSShellMVC开发服务器配置Linux
1544,java,天津·西青区·张家窝,天津铁通,3500.0,本科,在校/应届,后端工程师JavaScriptMySQLMyBatis
1545,Java,天津,御峰智能,8500.0,本科,1-3年,PHPHTML5Java
1546,Java,天津·西青区·侯台,易普拉格,7285.0,本科,1-3年,SpringOracleMySQLSpringMVCRedis后端开发
1547,Java,天津·静海区·静海县城,中商汇企,19714.0,本科,5-10年,后端开发SpringSpringBoot服务器端开发软件工程师
1548,Java,天津,小金牛,10000.0,大专,1-3年,Java开发经验Java分布式系统开发经验MySQL
1549,Java,天津·河西区·尖山,瑞信云,7500.0,大专,1-3年,SQLOracleMVC开发SpringMVCMySQL
1550,Java,天津·河西区·小海地,南京谦引力企业管...,17500.0,本科,1年以内,初级软件工程师
1551,Java,天津·西青区·侯台,锐执,10500.0,大专,1-3年,SQL服务器配置网络协议MVC开发SpringRedis
1552,Java,天津·滨海新区·渤海石油街,微能,10500.0,本科,1-3年,多线程
1553,Java,天津·西青区·侯台,天津紫锐世博科技,8000.0,本科,1-3年,Java开发经验中大型项目架构设计经验
1554,Java,天津·南开区·华苑,中电和讯,10500.0,本科,3-5年,Java中间件数据采集
1555,Java,天津·和平区·小白楼,利卓教育,15500.0,本科,1-3年,SQL
1556,Java,天津·滨海新区·经济开发区,国能汇智,12500.0,大专,3-5年,JavaJava开发经验
1557,java,天津·河东区·二号桥,东方永德,11000.0,本科,1-3年,Java
1558,Java,天津·东丽区·华明,天津鼎铉科贸有限公司,13500.0,本科,1-3年,高级软件工程师中级软件工程师后端开发SpringBoot
1559,Java,天津·和平区·滨江道,天津鹰眼,17500.0,本科,3-5年,服务器配置分布式技术SpringBootSpringSpringMVC
1560,Java,天津·东丽区·空港,赛博创伟,8500.0,本科,3-5年,JavaSQLSpringSSMMySQL
1561,java,天津·南开区·海光寺,玖安,12500.0,本科,3-5年,计算机软件
1562,Java,天津·南开区·鼓楼,天津浩宇天仿,9000.0,本科,1-3年,HTMLCSSSpringMySQL
1563,Java,天津·河东区·天津站,汉辰,15500.0,本科,3-5年,SpringMySQL后端开发
1564,Java,天津·河西区·小海地,车客巴巴,11000.0,本科,1-3年,JavaJavascript数据库
1565,Java,天津·河西区·下瓦房,爱波瑞,13500.0,本科,1-3年,后端开发
1566,java,天津·河西区·尖山,任天科技,2500.0,学历不限,1-3年,全栈工程师Java计算机/软件工程相关经验Java开发经验
1567,Java,天津·河北区·铁东路,易心,11500.0,本科,3-5年,微服务架构Java后端开发
1568,Java,天津·滨海新区·工农村,思齐软件,7500.0,大专,1-3年,后端开发前端开发企业软件
1569,Java,天津·津南区·八里台,北京易华录,12500.0,本科,5-10年,Java开发经验Java团队管理经验大数据处理经验
1570,Java,天津·东丽区·空港,云飞航空,11500.0,本科,3-5年,后端开发全栈开发软件工程师
1571,Java,天津·南开区·王顶堤,盛世源,15500.0,学历不限,经验不限,Java
1572,Java,天津·津南区·津南大学城,无等智联,9000.0,本科,1-3年,Java开发经验UnixJavaLinux服务器配置MySQL
1573,Java,天津·滨海新区·泰达MSD,天津刚慧科技有限公司,18000.0,本科,5-10年,微服务架构负载均衡技术分布式技术架构师后端开发
