,name,site,company,salary,eduBackground,experience,techRequire
50,Java 开发工程师,北京·海淀区·中关村,量化派,30000.0,本科,3-5年,SpringSpringBootMySQL后端开发分布式技术
51,Java 软件工程师,北京·朝阳区·望京,社通网科技,15000.0,本科,3-5年,Java后端开发
52,JAVA 开发工程师,北京·海淀区·航天桥,银都新天地,12500.0,本科,1-3年,SQL分布式技术SpringSpringMVCRedisGIT
53,Java 开发岗（海外事业部),北京·朝阳区·三里屯,爱奇艺,21428.0,本科,1-3年,后端工程师Java
54,Java 网站开发工程师 专/兼职,北京·海淀区·中关村,泽熹科技,16000.0,学历不限,1-3年,HTMLCSS网络协议MVC开发SpringWEB开发
55,Java 消息中间件开发工程师,北京·朝阳区·798,360集团,32142.0,本科,经验不限,后端工程师Java开发经验分布式系统开发经验
56,Java web开发实习生,北京·昌平区·回龙观,小晟科技,4500.0,本科,在校/应届,Java
57,java web 开发实习生,北京·海淀区·北下关,铁科院信息所,6750.0,本科,0-1年,JavaSQL数据结构SQL Server信息化JavaScript
58,java 架构师（专家岗）,北京,百亚股份,38571.0,本科,5-10年,架构师广告业务
59,资深 Java 游戏服务器开发,北京·朝阳区·安贞,王牌游戏,42857.0,学历不限,经验不限,网络协议数据结构网络编程RedisNoSQLMongoDB
60,java web开发工程师,北京·丰台区·大红门,安邦模拟科技,7000.0,本科,经验不限,HTMLSpringMaven计算机软件JavaScriptJava
61,JAVA WEB开发工程师,北京·海淀区·五道口,网矿,9000.0,本科,3-5年,HTML/CSSJavaJavascript
62,Java 研发工程师（Agent方向),北京·朝阳区·大山子,边界无限,25714.0,本科,3-5年,java agentJVMAPMjava调试技术java字节码
63,高级 Java web 后端开发工程师,北京·海淀区·上地,悬镜,27500.0,本科,3-5年,SQL搜索引擎技术MVC开发负载均衡技术容器技术
64,Java 高级软件开发工程师,北京·海淀区·上地,北大方正电子,19500.0,本科,1-3年,后端开发Java系统架构
65,大数据 数据资产模块 JAVA 资深工程师 北京,北京·海淀区·中关村,云之重器科技有限公司,34285.0,本科,3-5年,JavaSpringJava开发经验大数据处理经验
66,资深 Java 开发 工程师,北京·丰台区·菜户营,中国电信全渠中心,32142.0,硕士,3-5年,架构师Java推荐系统
67,Senior JAVA 高级软件开发工程师,北京,毕罗国际,34285.0,本科,3-5年,微服务架构Spring后端开发高级软件工程师
68,Java 高级开发工程师 国际化部,北京·朝阳区·十里堡,VIPKID,30000.0,本科,3-5年,后端开发Java系统架构
69,Java,北京·西城区·西直门,知圆科技,10500.0,本科,1-3年,JavaHTMLCSS分布式技术服务器配置Spring
70,Java,北京·朝阳区·望京,明略科技,47142.0,本科,5-10年,后端开发SpringSpringMVC架构师
71,Java,北京,北京华宇思创,14500.0,本科,3-5年,Java分布式技术微服务架构Spring后端开发
72,Java,北京·朝阳区·高碑店,北京创意坊科技,11000.0,本科,1-3年,Java后端开发
73,java,北京·东城区·安定门,北京南天,17000.0,本科,3-5年,Springspringcloud开发经验
74,Java,北京,创朝科技,27500.0,本科,5-10年,Java分布式技术微服务架构SpringSpringMVC
75,Java,北京·大兴区·西红门,山西图灵科技中心...,8571.0,大专,1-3年,JavaSpringMyBatis
76,Java,北京,浙江银泰百货有限...,24000.0,本科,3-5年,Java后端开发Linux
77,Java,北京·朝阳区·左家庄,天下秀,22500.0,本科,5-10年,多线程微服务架构流媒体技术NoSQL后端开发
78,Java,北京·朝阳区·三元桥,欢喜首映,17142.0,本科,3-5年,SpringDubboSpringBootRedisMySQLSpringMVC
79,Java,北京·西城区·动物园,奇安信集团,19285.0,本科,5-10年,SQLMVC开发SpringRedisSpringMVCSpringBoot
80,Java,北京·朝阳区·四惠,联科星合,7500.0,本科,1-3年,分布式技术SSHOracleMySQLWEB开发Windows
81,Java,北京·海淀区·学院路,泰盛天恒,14500.0,本科,3-5年,SpringBootSpringCloud
82,Java,北京·大兴区·亦庄,致鑫科技,23000.0,本科,5-10年,Java
83,Java,北京·朝阳区·姚家园,万物云,18000.0,本科,5-10年,JavaSpringMySQLNettyRedisMongoDB
84,Java,北京·海淀区·中关村,春夏秋冬,12500.0,大专,3-5年,AndroidJavascriptHTML/CSS
85,Java,北京·朝阳区·国贸,亿目,26500.0,学历不限,经验不限,Java
86,Java,北京·海淀区·公主坟,中招联合,17500.0,本科,3-5年,JavaHTML/CSS系统架构
87,Java,北京·海淀区·清河,中商汇企,32142.0,本科,5-10年,架构师分布式技术多进程SpringSpringMVCRedis
88,java,北京·朝阳区·酒仙桥,九安芯创,15000.0,本科,1-3年,Python分布式技术网络协议后端开发Linux
89,Java,北京·房山区·阎村,赛耳医疗,5500.0,本科,1-3年,Java后端开发项目实施
90,Java,北京·海淀区·西北旺,华为技术有限公司,16714.0,本科,1-3年,JavaSQL容器技术负载均衡技术Spring后端开发
91,Java,北京·朝阳区·高碑店,随身助,11500.0,本科,1-3年,Java后端开发Hadoop
92,Java,北京·朝阳区·双井,今朝在线,13000.0,学历不限,经验不限,Java
93,Java,北京·海淀区·上地,酷趣互动,17500.0,本科,1-3年,Java分布式技术多线程SpringMySQLRedis
94,Java,北京·海淀区·学院路,获得场景视频,16500.0,本科,1-3年,数据库后端开发Java
95,Java,北京·海淀区·清河,众信链,20000.0,本科,3-5年,JavaSQL后端开发财务进销存微服务架构
96,Java,北京·海淀区·上地,安硕信息技术,10500.0,本科,1-3年,JavaSQLShellSpringOracleLinuxMVC开发
97,Java,北京·朝阳区·安贞,上海贺讯,23500.0,本科,3-5年,JavaMySQLRedis计算机/软件工程相关经验
98,Java,北京·朝阳区·望京,领创集团,20142.0,本科,3-5年,Java
99,Java,北京·朝阳区·国贸,流深,18000.0,本科,5-10年,分布式技术SpringCloudPostgreSQL高级软件工程师
100,Java,北京·朝阳区·北沙滩,农业机械化科学研究院,15000.0,本科,3-5年,Java后端开发系统架构
101,Java,北京·朝阳区·望京,松果出行,32142.0,本科,5-10年,分布式技术微服务架构数据结构消息队列容器技术
102,Java,北京·朝阳区·望京,意慕人工智能,27500.0,本科,3-5年,SpringMVCSpringBoot
103,Java,北京·朝阳区·太阳宫,珊瑚科技,25714.0,本科,3-5年,服务器端开发MySQL架构师消息队列SpringMVC
104,Java,北京·东城区·和平里,北银金科,25714.0,本科,3-5年,JavaSpringDubbo分布式技术多线程微服务架构
105,Java,北京·海淀区·知春路,好未来,22500.0,本科,3-5年,Java负载均衡技术Socket技术流媒体技术Linux
106,Java,北京,西安乐摇摇网络,22500.0,本科,3-5年,后端开发数据库
107,Java,北京·海淀区·西北旺,新华三技术有限公司,15500.0,硕士,5-10年,Java
108,Java,北京·朝阳区·酒仙桥,创软科技,16500.0,本科,3-5年,SpringBootSpringMVC
109,Java,北京·顺义区·仁和,小象牧谣,15500.0,本科,5-10年,JavaSpringMyBatis
110,Java,北京·朝阳区·鸟巢,汇钧科技,38571.0,本科,3-5年,分布式技术消息队列企业级应用开发后端开发Linux
111,Java,北京·西城区·金融街,济安金信,9000.0,本科,1-3年,JavaSQL
112,Java,北京·西城区·什刹海,阿尔法,15500.0,本科,1-3年,SQL
113,Java,北京·西城区·宣武门,圣立信,23571.0,本科,3-5年,JavaMyBatisJavaScript
114,Java,北京·朝阳区·将台路,玲珑塔,22500.0,本科,3-5年,微服务架构Oracle
115,java,北京·朝阳区·农业展览馆,开发者科技,13000.0,本科,1-3年,后端工程师Springto B农业数字化springcloud
116,Java,北京·丰台区·科技园区,旭阳数字,13285.0,本科,3-5年,分布式技术容器技术
117,Java,北京·昌平区·天通苑,北京龙寰科技有限公司,20500.0,本科,在校/应届,JavaC语言Python汇编语言
118,Java,北京·海淀区·颐和园,分享通信,22500.0,本科,经验不限,MVC开发多线程架构师SpringNoSQLMySQL
119,Java,北京·东城区·东直门,玩吧,34285.0,本科,5-10年,MySQL分布式技术微服务架构后端开发社交Java
120,Java,北京·海淀区·人民大学,青石绿网,8500.0,本科,1-3年,HadoopJavaLinux
121,Java,北京·海淀区·苏州街,序源基因,22500.0,本科,3-5年,JavaSpringMySQLRedisNoSQLMongoDBLinux
122,Java,北京·朝阳区·国贸,央视国际视通,12000.0,本科,3-5年,Java
123,Java,北京·海淀区·马连洼,明亚科技,17500.0,本科,3-5年,分布式技术SpringRedisMongoDBMemcached
124,Java,北京·门头沟区·永定,众合九通,10500.0,本科,1-3年,JavaScriptHTMLObjective-C
125,Java,北京·大兴区·亦庄,北京霄飞科技有限公司,11500.0,大专,3-5年,Java
126,Java,北京·西城区·西便门,惠而好创业,13000.0,本科,3-5年,SpringOracleJava分布式技术Mybatis
127,Java,北京·朝阳区·二外,安乾国际大数据,27500.0,本科,3-5年,数据结构SQL多线程微服务架构SpringRedis
128,Java,北京·朝阳区·常营,北京轻易科技有限...,10500.0,学历不限,经验不限,Java
129,Java,北京·丰台区·科技园区,大瑞集思,9500.0,本科,1-3年,SQLHTML微服务架构SpringMySQLLinuxJava
130,java,北京·顺义区·后沙峪,法本,22500.0,本科,3-5年,Java
131,Java,北京·朝阳区·望京,北京美小美科技有...,20000.0,本科,5-10年,Java中大型项目架构设计经验SpringCloud分布式技术
132,Java,北京·海淀区·西北旺,光大科技,14500.0,本科,3-5年,Java开发经验Java中大型项目架构设计经验MySQL
133,Java,北京·海淀区·中关村,合思,13285.0,大专,3-5年,后端开发WEB开发MySQLRedis
134,Java,北京·朝阳区·管庄,友益思,17500.0,大专,5-10年,后端工程师JavaSpringRedisJava开发经验
135,Java,北京·海淀区·上地,坤和致清,12428.0,本科,1-3年,企业级应用开发
136,Java,北京,渤海融信投资,10500.0,本科,1-3年,JavaSQLPython
137,Java,北京·海淀区·上地,传易互联,25285.0,硕士,3-5年,JavaSQL分布式技术MVC开发多线程多进程
138,Java,北京,盛大融鑫,9000.0,大专,1-3年,Java
139,Java,北京·朝阳区·甘露园,常之科技,22500.0,本科,5-10年,后端工程师架构师Java
140,Java,北京·海淀区·知春路,泰尔英福科技有限公司,15000.0,本科,经验不限,微服务架构容器技术全栈开发后端开发WEB开发
141,Java,北京·朝阳区·安贞,云基,15500.0,本科,1-3年,MVC开发分布式技术消息队列数据结构Linux
142,JAVA,北京·海淀区·西北旺,北京新致,14500.0,本科,3-5年,SpringRedisOracleMySQL微服务架构
143,Java,北京·朝阳区·朝阳门,北京中能汇智软件技术,14000.0,本科,3-5年,JavaMySQL大数据处理经验
144,Java,北京·海淀区·西北旺,信雅达科技股份,16500.0,本科,3-5年,后端工程师Java
145,Java,北京·海淀区·双榆树,山西慢快科技有限...,7000.0,本科,5-10年,Java
146,Java,北京·丰台区·宋家庄,云端微服,9857.0,本科,1-3年,JavaSQLSpringSSM分布式技术后端开发Redis
147,Java,北京·丰台区·丽泽,吉之祥科技有限公司,12500.0,大专,1-3年,SpringJava分布式技术计算机软件大数据人工智能
148,Java,北京·顺义区·马坡,北京金信润天股份公司,25000.0,大专,3-5年,SQLSpringBootSpringCloudSSMIDEASpring
149,Java,北京,华为云计算,19285.0,本科,经验不限,JavaC/C++MyBatis后端工程师全栈开发
150,Java,北京·海淀区·中关村,北京开元维度科技...,38571.0,本科,经验不限,LinuxUnix企业级应用开发后端开发分布式技术
151,Java,北京·海淀区·上地,天琴科技,7714.0,本科,1-3年,Java容器技术MySQLMongoDBLinux网络安全
152,Java,北京·朝阳区·水立方,中科朗智,11000.0,本科,1-3年,SpringBootSpringIDEA
153,Java,北京·西城区·阜成门,奇迹乍现科技,32142.0,硕士,5-10年,后端开发高级软件工程师SpringCloud负载均衡技术
154,Java,北京·海淀区·中关村,北京金成果网络科技,15500.0,学历不限,经验不限,全栈开发
155,Java,北京·海淀区·中关村,北京大学软件中心,15000.0,本科,1-3年,全栈工程师JavaJavaScriptJava开发经验
156,Java,北京·朝阳区·望京,小药药,27857.0,本科,5-10年,架构师计算机软件Java分布式技术Dubbo
157,java,北京·朝阳区·亮马桥,北京智扬通达科技发展,8500.0,大专,1-3年,后端工程师
158,Java,北京·大兴区·马驹桥,北京八零八零,17500.0,大专,3-5年,后端工程师Java计算机/软件工程相关经验SpringCloud
159,Java,北京·海淀区·清河,268教育,7500.0,大专,1-3年,数据库Java中间件
160,Java,北京·朝阳区·国贸,紫博蓝,12500.0,大专,3-5年,分布式技术
161,Java,北京·朝阳区·朝阳大悦城,能链集团,26500.0,本科,3-5年,分布式技术服务器配置多线程微服务架构
162,java,北京·朝阳区·高碑店,纽扣互联,9000.0,本科,1-3年,JavaSpringRedis
163,Java,北京·朝阳区·望京,上海慧与有限公司,20000.0,本科,3-5年,Java后端开发项目实施
164,Java,北京·朝阳区·朝外,大牛认知,18000.0,本科,1-3年,分布式技术多线程数据结构SpringSpringBoot
165,Java,北京·昌平区·回龙观,北京优蚂科技,14500.0,大专,3-5年,JavaHTML/CSSSpringMVC
166,Java,北京·朝阳区·百子湾,捷睿塞斯,15500.0,本科,1-3年,Python
167,Java,北京·朝阳区·东坝,北京扶光动力,25000.0,大专,经验不限,JavaSpringRedisJava开发经验分布式系统开发经验
168,java,北京·海淀区·西北旺,华为北京研究所,20142.0,学历不限,经验不限,后端工程师JavaMySQLSpring
169,Java,北京·朝阳区·四惠东,西牛奔奔,20500.0,大专,5-10年,多线程SpringSpringCloudSpringBootLinux
170,java,北京·西城区·百万庄,中科航天,16500.0,大专,5-10年,Java
171,Java,北京·顺义区·后沙峪,点威科技,10500.0,大专,3-5年,Java
172,Java,北京·海淀区·四季青,智网科技,20500.0,本科,3-5年,MySQLSQL中级软件工程师WindowsLinux
173,Java,北京·海淀区·马连洼,更读八角,14000.0,本科,3-5年,Jave分布式技术微服务架构中级软件工程师全栈开发
174,Java,北京·东城区·和平里,新生支付,28500.0,大专,3-5年,SpringHibernate微服务架构分布式技术MVC开发
175,Java,北京·昌平区·天通苑,匈华国际,12500.0,高中,在校/应届,JavaPHPPythonJavaScriptSQLShellCSS
176,Java,北京·海淀区·中关村,PDX 全息互信,30000.0,本科,5-10年,Java后端开发
177,Java,北京·海淀区·北太平庄,容利达科技,20000.0,本科,3-5年,MySQL后端开发WEB开发软件工程师
178,Java,北京·海淀区·上地,蚂蚁互联,22500.0,硕士,5-10年,后端开发系统架构前端开发
179,Java,北京·东城区·东单,农银金科,21428.0,本科,经验不限,多线程后端开发SpringBootSpringCloudIDEA
180,Java,北京·朝阳区·慈云寺,Amazon,65000.0,本科,3-5年,高级软件工程师后端开发
181,Java,北京·海淀区·公主坟,紫亿珑,14000.0,大专,3-5年,分布式技术消息队列多线程架构师SpringBoot
182,Java,北京·朝阳区·酒仙桥,思源,17142.0,本科,经验不限,Java
183,Java,北京·朝阳区·高碑店,曹氏俊杰,9500.0,大专,3-5年,JavaHTMLSQLJavaScript多线程全栈开发
184,java,北京·昌平区·沙河,云智环能科技有限公司,15000.0,本科,1-3年,Java
185,Java,北京·丰台区·花乡,奔一达科技,10500.0,本科,3-5年,Java
186,Java,北京·东城区·和平里,联通大数据有限公司,19285.0,本科,5-10年,JavaJava开发经验分布式系统开发经验大数据处理经验
187,Java,北京·海淀区·西北旺,中交兴路,16285.0,本科,3-5年,后端开发数据库JavaJavaScriptSQLShell多线程
188,Java,北京·丰台区·六里桥,北冥鲲,15500.0,博士,5-10年,PHPPython高级软件工程师Linux全栈开发
189,Java,北京·朝阳区·亚运村,如影科技,22500.0,本科,1-3年,JavaSpringRedisJava开发经验
190,Java,北京·朝阳区·高碑店,中京惠康,19000.0,大专,3-5年,分布式技术后端开发高级软件工程师软件工程师
191,Java,北京·西城区·白纸坊,赢信科技,19500.0,本科,3-5年,Java后端开发数据库
192,Java,北京·通州区·九棵树,乐艺,15500.0,大专,3-5年,全栈工程师JavaSpringJavaScript
193,Java,北京·海淀区·中关村,车智易通信息技术,19285.0,本科,1-3年,MVC开发微服务架构负载均衡技术消息队列多线程
194,java,北京·石景山区·永乐,北京腾势,20500.0,本科,3-5年,JavaC/C++
195,Java,北京·朝阳区·望京,阿里影业,21857.0,本科,3-5年,JavaSpringJava开发经验分布式系统开发经验
